name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:n13-07_3523,10.4207,0.509366,9.07105,12.34,10.9301,9.91133,-1530.39,16540.3,-201358,2.78734,15009.9,-18070.7,6.2837
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:n13-07_3525,-13.8113,0.527412,-15.2186,-12.5673,-13.2839,-14.3387,-484.471,4524.78,-54825.4,-25.7528,4040.31,-5009.26,10.5342
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:n13-07_52733,-8.90878,0.4673,-10.0363,-7.74268,-8.44148,-9.37608,-1548.34,16258.5,-197940,-23.1084,14710.2,-17806.9,13.0721
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:n13-07_53178,-1.48105,0.516886,-2.82396,-0.0691328,-0.964165,-1.99794,-1405.94,14615.9,-177733,-20.9593,13210,-16021.8,18.1354
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:o14-01_3891,2.94961,0.467023,1.65762,3.92373,3.41663,2.48258,16.6265,15.5366,7.29725,192.949,32.1631,1.08992,3.37353
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:o14-01_3893,0.244331,0.486125,-0.839995,1.84891,0.730457,-0.241794,12.0474,16.6136,4.37222,211.338,28.661,-4.5662,2.52332
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:o14-01_3897,-3.56781,0.511783,-4.94558,-2.25821,-3.05603,-4.0796,5.12777,17.106,0.616972,212.392,22.2337,-11.9782,2.87519
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:o15-01_3958,5.80516,0.51861,4.50567,7.44171,6.32377,5.28655,-424.292,5142.86,-62991.3,2.62891,4718.57,-5567.15,1.87676
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:o17-01_3982,15.7935,0.524403,14.7174,17.3278,16.3179,15.2691,-182438,2.22199e+06,-2.72144e+07,7.62491,2.03955e+06,-2.40443e+06,7.09249
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:q18-01_4001,5.3955,0.423527,3.92268,6.63636,5.81903,4.97197,-147.18,52.6611,-299.071,-15.9804,-94.5191,-199.841,19.9031
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:q18-01_4016,-1.43289,0.475227,-2.84282,-0.122342,-0.957658,-1.90811,-40.049,13.0895,-132.119,-15.4652,-26.9596,-53.1385,12.6223
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:q18-01_4018,-11.6323,0.462853,-13.5269,-10.5686,-11.1694,-12.0951,-24800.1,302442,-3.70425e+06,-20.4686,277642,-327242,6.94166
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:q18-01_4026,-2.62758,0.462957,-3.91114,-1.64231,-2.16462,-3.09053,-386101,4.72741e+06,-5.78988e+07,-9.36877,4.34131e+06,-5.11351e+06,5.45763
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:q18-01_4030,-12.2807,0.496607,-13.8007,-10.6097,-11.7841,-12.7773,-357078,4.37176e+06,-5.3543e+07,-43.3289,4.01468e+06,-4.72883e+06,29.5282
