name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_58,-3.84317,0.492169,-5.37769,-2.3299,-3.351,-4.33534,-30.7066,16.5025,-174.838,-6.64155,-14.2041,-47.209,1.26385
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_60,-3.75804,0.468059,-4.96239,-2.5583,-3.28998,-4.22609,-31.3257,13.7055,-89.5407,-7.13052,-17.6201,-45.0312,2.16813
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_66,-3.69277,0.507258,-5.03125,-2.4781,-3.18551,-4.20003,-28.8143,10.4007,-62.8829,-6.36414,-18.4136,-39.215,1.33288
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_72,-3.55126,0.498712,-5.12354,-2.36102,-3.05255,-4.04998,-28.5003,10.2509,-66.3235,-8.01674,-18.2494,-38.7512,2.8932
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_73,-3.8374,0.490988,-5.05622,-2.68453,-3.34641,-4.32839,-28.5837,10.6882,-65.7814,-6.98605,-17.8955,-39.2719,1.92983
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_74,-3.75338,0.506214,-4.89301,-2.48559,-3.24716,-4.25959,-23.2794,10.5033,-58.9461,-5.37064,-12.7761,-33.7827,0.477631
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_84,-2.29869,0.512638,-3.64198,-0.462827,-1.78605,-2.81133,-15.3589,6.31324,-45.7021,-3.71347,-9.04566,-21.6722,0.0714895
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_95,-2.4166,0.482403,-3.43983,-1.32609,-1.93419,-2.899,-18.1108,8.33105,-55.5108,-4.15494,-9.77979,-26.4419,0.715114
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_96,-2.77983,0.502912,-3.94564,-1.03426,-2.27692,-3.28274,-23.2432,10.0601,-65.255,-5.08664,-13.1831,-33.3033,1.141
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_97,-2.92507,0.475855,-4.63148,-1.57308,-2.44921,-3.40092,-26.2002,11.0845,-70.7112,-5.23282,-15.1157,-37.2846,0.601339
